Station Name,NaPTAN ID,Hub NaPTAN,Lines
Amersham Underground Station,940GZZLUAMS,HUBAMR,[Metropolitan]
Chalfont & Latimer Underground Station,940GZZLUCAL,HUBCFO,[Metropolitan]
Chesham Underground Station,940GZZLUCSM,N/A,[Metropolitan]
Buckhurst Hill Underground Station,940GZZLUBKH,N/A,[Central]
Chigwell Underground Station,940GZZLUCWL,N/A,[Central]
Debden Underground Station,940GZZLUDBN,N/A,[Central]
Epping Underground Station,940GZZLUEPG,N/A,[Central]
Grange Hill Underground Station,940GZZLUGGH,N/A,[Central]
Loughton Underground Station,940GZZLULGN,N/A,[Central]
Theydon Bois Underground Station,940GZZLUTHB,N/A,[Central]
Croxley Underground Station,940GZZLUCXY,N/A,[Metropolitan]
Chorleywood Underground Station,940GZZLUCYD,HUBCLW,[Metropolitan]
Moor Park Underground Station,940GZZLUMPK,N/A,[Metropolitan]
Rickmansworth Underground Station,940GZZLURKW,HUBRIC,[Metropolitan]
Watford Underground Station,940GZZLUWAF,N/A,[Metropolitan]
Acton Town Underground Station,940GZZLUACT,N/A,"[District, Piccadilly]"
Archway Underground Station,940GZZLUACY,N/A,[Northern]
Aldgate East Underground Station,940GZZLUADE,N/A,"[District, Hammersmith & City]"
Angel Underground Station,940GZZLUAGL,N/A,[Northern]
Aldgate Underground Station,940GZZLUALD,N/A,"[Circle, Metropolitan]"
Alperton Underground Station,940GZZLUALP,N/A,[Piccadilly]
Arnos Grove Underground Station,940GZZLUASG,N/A,[Piccadilly]
Arsenal Underground Station,940GZZLUASL,N/A,[Piccadilly]
Bromley-By-Bow Underground Station,940GZZLUBBB,N/A,"[District, Hammersmith & City]"
Barbican Underground Station,940GZZLUBBN,N/A,"[Circle, Hammersmith & City, Metropolitan]"
Bounds Green Underground Station,940GZZLUBDS,N/A,[Piccadilly]
Becontree Underground Station,940GZZLUBEC,N/A,[District]
Barkingside Underground Station,940GZZLUBKE,N/A,[Central]
Blackfriars Underground Station,940GZZLUBKF,HUBBFR,"[Circle, District]"
Bethnal Green Underground Station,940GZZLUBLG,N/A,[Central]
Balham Underground Station,940GZZLUBLM,HUBBAL,[Northern]
Bermondsey Underground Station,940GZZLUBMY,N/A,[Jubilee]
Bond Street Underground Station,940GZZLUBND,HUBBDS,"[Central, Elizabeth line, Jubilee]"
Bank Underground Station,940GZZLUBNK,HUBBAN,"[Central, DLR, Northern, Waterloo & City]"
Borough Underground Station,940GZZLUBOR,N/A,[Northern]
Boston Manor Underground Station,940GZZLUBOS,N/A,[Piccadilly]
Barons Court Underground Station,940GZZLUBSC,N/A,"[District, Piccadilly]"
Baker Street Underground Station,940GZZLUBST,N/A,"[Bakerloo, Circle, Hammersmith & City, Jubilee, Metropolitan]"
Burnt Oak Underground Station,940GZZLUBTK,N/A,[Northern]
Brent Cross Underground Station,940GZZLUBTX,N/A,[Northern]
Bow Road Underground Station,940GZZLUBWR,N/A,"[District, Hammersmith & City]"
Bayswater Underground Station,940GZZLUBWT,N/A,"[Circle, District]"
Brixton Underground Station,940GZZLUBXN,HUBBRX,[Victoria]
Belsize Park Underground Station,940GZZLUBZP,N/A,[Northern]
Caledonian Road Underground Station,940GZZLUCAR,N/A,[Piccadilly]
Chalk Farm Underground Station,940GZZLUCFM,N/A,[Northern]
Covent Garden Underground Station,940GZZLUCGN,N/A,[Piccadilly]
Chancery Lane Underground Station,940GZZLUCHL,N/A,[Central]
Charing Cross Underground Station,940GZZLUCHX,HUBCHX,"[Bakerloo, Northern]"
Cockfosters Underground Station,940GZZLUCKS,N/A,[Piccadilly]
Colindale Underground Station,940GZZLUCND,N/A,[Northern]
Clapham Common Underground Station,940GZZLUCPC,N/A,[Northern]
Canons Park Underground Station,940GZZLUCPK,N/A,[Jubilee]
Clapham North Underground Station,940GZZLUCPN,N/A,[Northern]
Clapham South Underground Station,940GZZLUCPS,N/A,[Northern]
Colliers Wood Underground Station,940GZZLUCSD,N/A,[Northern]
Cannon Street Underground Station,940GZZLUCST,HUBCST,"[Circle, District]"
Camden Town Underground Station,940GZZLUCTN,N/A,[Northern]
Chiswick Park Underground Station,940GZZLUCWP,N/A,[District]
Canary Wharf Station,940GZZLUCYF,HUBCAW,"[DLR, Elizabeth line, Jubilee]"
Dagenham East Underground Station,940GZZLUDGE,N/A,[District]
Dagenham Heathway Underground Station,940GZZLUDGY,N/A,[District]
Dollis Hill Underground Station,940GZZLUDOH,N/A,[Jubilee]
Elephant & Castle Underground Station,940GZZLUEAC,HUBEPH,"[Bakerloo, Northern]"
Eastcote Underground Station,940GZZLUEAE,N/A,"[Metropolitan, Piccadilly]"
East Acton Underground Station,940GZZLUEAN,N/A,[Central]
Ealing Common Underground Station,940GZZLUECM,N/A,"[District, Piccadilly]"
Earl's Court Underground Station,940GZZLUECT,N/A,"[District, Piccadilly]"
East Finchley Underground Station,940GZZLUEFY,N/A,[Northern]
East Ham Underground Station,940GZZLUEHM,N/A,"[District, Hammersmith & City]"
Embankment Underground Station,940GZZLUEMB,N/A,"[Bakerloo, Circle, District, Northern]"
Elm Park Underground Station,940GZZLUEPK,N/A,[District]
East Putney Underground Station,940GZZLUEPY,N/A,[District]
Edgware Road (Bakerloo Line) Underground Station,940GZZLUERB,N/A,[Bakerloo]
Edgware Road (Circle Line) Underground Station,940GZZLUERC,N/A,"[Circle, District, Hammersmith & City]"
Euston Square Underground Station,940GZZLUESQ,N/A,"[Circle, Hammersmith & City, Metropolitan]"
Fulham Broadway Underground Station,940GZZLUFBY,N/A,[District]
Farringdon Underground Station,940GZZLUFCN,HUBZFD,"[Circle, Elizabeth line, Hammersmith & City, Metropolitan]"
Fairlop Underground Station,940GZZLUFLP,N/A,[Central]
Finsbury Park Underground Station,940GZZLUFPK,HUBFPK,"[Piccadilly, Victoria]"
Finchley Central Underground Station,940GZZLUFYC,N/A,[Northern]
Finchley Road Underground Station,940GZZLUFYR,N/A,"[Jubilee, Metropolitan]"
Goodge Street Underground Station,940GZZLUGDG,N/A,[Northern]
Golders Green Underground Station,940GZZLUGGN,N/A,[Northern]
Goldhawk Road Underground Station,940GZZLUGHK,N/A,"[Circle, Hammersmith & City]"
Green Park Underground Station,940GZZLUGPK,N/A,"[Jubilee, Piccadilly, Victoria]"
Great Portland Street Underground Station,940GZZLUGPS,N/A,"[Circle, Hammersmith & City, Metropolitan]"
Gants Hill Underground Station,940GZZLUGTH,N/A,[Central]
Gloucester Road Underground Station,940GZZLUGTR,N/A,"[Circle, District, Piccadilly]"
