Station Name,NaPTAN ID,Hub NaPTAN,Lines
Abbey Road,['940GZZDLABR'],['N/A'],['DLR']
Abbey Wood,['910GABWDXR'],['HUBABW'],['Elizabeth line']
Acton Central,['910GACTNCTL'],['N/A'],['London Overground']
Acton Main Line,['910GACTONML'],['N/A'],['Elizabeth line']
Acton Town,['940GZZLUACT'],['N/A'],"['District', 'Piccadilly']"
Addington Village,['940GZZCRADV'],['N/A'],['Tram']
Addiscombe,['940GZZCRADD'],['N/A'],['Tram']
Aldgate,['940GZZLUALD'],['N/A'],"['Metropolitan', 'Circle']"
Aldgate East,['940GZZLUADE'],['N/A'],"['District', 'Hammersmith & City']"
All Saints,['940GZZDLALL'],['N/A'],['DLR']
Alperton,['940GZZLUALP'],['N/A'],['Piccadilly']
Amersham,['940GZZLUAMS'],['HUBAMR'],['Metropolitan']
Ampere Way,['940GZZCRAMP'],['N/A'],['Tram']
Anerley,['910GANERLEY'],['N/A'],['London Overground']
Angel,['940GZZLUAGL'],['N/A'],['Northern']
Archway,['940GZZLUACY'],['N/A'],['Northern']
Arena,['940GZZCRARA'],['N/A'],['Tram']
Arnos Grove,['940GZZLUASG'],['N/A'],['Piccadilly']
Arsenal,['940GZZLUASL'],['N/A'],['Piccadilly']
Avenue Road,['940GZZCRAVE'],['N/A'],['Tram']
Baker Street,['940GZZLUBST'],['N/A'],"['Metropolitan', 'Hammersmith & City', 'Jubilee', 'Circle', 'Bakerloo']"
Balham,['940GZZLUBLM'],['HUBBAL'],['Northern']
Bank,"['940GZZLUBNK', '940GZZDLBNK']",['HUBBAN'],"['Waterloo & City', 'Northern', 'Central', 'DLR']"
Barbican,['940GZZLUBBN'],['N/A'],"['Metropolitan', 'Circle', 'Hammersmith & City']"
Barking,"['940GZZLUBKG', '910GBARKING']",['HUBBKG'],"['District', 'Hammersmith & City', 'London Overground']"
Barking Riverside,['910GBKRVS'],['N/A'],['London Overground']
Barkingside,['940GZZLUBKE'],['N/A'],['Central']
Barons Court,['940GZZLUBSC'],['N/A'],"['District', 'Piccadilly']"
Battersea Power,['940GZZBPSUST'],['N/A'],['Northern']
Bayswater,['940GZZLUBWT'],['N/A'],"['District', 'Circle']"
Beckenham Junction,['940GZZCRBEK'],['HUBBEK'],['Tram']
Beckenham Road,['940GZZCRBRD'],['N/A'],['Tram']
Beckton,['940GZZDLBEC'],['N/A'],['DLR']
Beckton Park,['940GZZDLBPK'],['N/A'],['DLR']
Becontree,['940GZZLUBEC'],['N/A'],['District']
Beddington Lane,['940GZZCRBED'],['N/A'],['Tram']
Belgrave Walk,['940GZZCRBGV'],['N/A'],['Tram']
Belsize Park,['940GZZLUBZP'],['N/A'],['Northern']
Bermondsey,['940GZZLUBMY'],['N/A'],['Jubilee']
Bethnal Green,"['940GZZLUBLG', '910GBTHNLGR']",['N/A'],"['Central', 'London Overground']"
Birkbeck,['940GZZCRBIR'],['HUBBIR'],['Tram']
Blackfriars,['940GZZLUBKF'],['HUBBFR'],"['District', 'Circle']"
Blackhorse Lane,['940GZZCRBLA'],['N/A'],['Tram']
Blackhorse Road,"['940GZZLUBLR', '910GBLCHSRD']",['HUBBHO'],"['Victoria', 'London Overground']"
Blackwall,['940GZZDLBLA'],['N/A'],['DLR']
Bond Street,"['940GZZLUBND', '910GBONDST']",['HUBBDS'],"['Jubilee', 'Central', 'Elizabeth line']"
Borough,['940GZZLUBOR'],['N/A'],['Northern']
Boston Manor,['940GZZLUBOS'],['N/A'],['Piccadilly']
Bounds Green,['940GZZLUBDS'],['N/A'],['Piccadilly']
Bow Church,['940GZZDLBOW'],['N/A'],['DLR']
Bow Road,['940GZZLUBWR'],['N/A'],"['District', 'Hammersmith & City']"
Brent Cross,['940GZZLUBTX'],['N/A'],['Northern']
Brentwood,['910GBRTWOOD'],['N/A'],['Elizabeth line']
Brixton,['940GZZLUBXN'],['HUBBRX'],['Victoria']
